Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,2.00,1.00,5.00,Gram,USA
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,9.43,,,Kilogram,USA
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,20.00,9.00,40.00,Kilogram,USA
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,4.00,2.00,10.00,Gram,USA
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Wholesale,2017,2200.00,1500.00,2500.00,Kilogram,USA
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Wholesale,2017,3600.00,2700.00,5000.00,Kilogram,USA
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Street,2017,18.00,16.00,22.00,Gram,USA
ARQ,Americas,South America,Paraguay,Cocaine-type,Cocaine,,Wholesale,2016,7000.00,,,Kilogram,USA
ARQ,Americas,South America,Paraguay,Cocaine-type,Other coca/cocaine-type drugs,,Street,2017,5.00,4.00,7.00,Dose,USA
ARQ,Americas,South America,Peru,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2018,135.00,120.00,150.00,Kilogram,USA
ARQ,Americas,South America,Peru,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,185.00,120.00,250.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Peru,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,175.00,150.00,200.00,Kilogram,USA
OC2021,Americas,South America,Peru,Cocaine-type,Cocaine,,Wholesale,2020,4584.37,3972.10,5279.60,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Peru,Cocaine-type,Cocaine,,Wholesale,2019,5279.60,3685.00,9423.90,Kilogram,"National currency (not EUR, USD or CHF)"
